City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Winslow,US,2021-10-07 22:19:29,35.0242,-110.6974,78.98,25,1,4.0
263,Nizhniy Kuranakh,RU,2021-10-07 22:22:52,58.8353,125.4869,32.29,97,100,10.33
264,Marzuq,YE,2021-10-07 22:22:53,14.4,46.4667,79.16,54,71,2.19
265,Inongo,CD,2021-10-07 22:22:53,-1.95,18.2667,72.36,91,28,4.45
266,Elliot,ZA,2021-10-07 22:22:53,-31.3333,27.85,59.0,66,88,14.07
267,Madras,IN,2021-10-07 22:20:58,13.0878,80.2785,82.38,89,75,5.75
268,Canico,PT,2021-10-07 22:22:54,32.6333,-16.85,72.23,84,40,9.22
269,Piddig,PH,2021-10-07 22:22:54,18.1655,120.7175,76.55,94,75,3.15
270,Waingapu,ID,2021-10-07 22:22:54,-9.6567,120.2641,76.23,81,48,4.14
271,Suntar,RU,2021-10-07 22:22:55,62.1444,117.6319,31.98,92,99,7.67
272,Cherskiy,RU,2021-10-07 22:22:55,68.75,161.3,2.16,97,74,4.36
273,Labuhan,ID,2021-10-07 22:22:55,-6.8844,112.2051,76.62,74,6,8.48
274,Pangnirtung,CA,2021-10-07 22:22:55,66.1451,-65.7125,33.8,100,90,3.44
275,Padang,ID,2021-10-07 22:22:56,-0.9492,100.3543,73.45,84,100,3.27
276,Rodnykove,UA,2021-10-07 22:22:56,45.043,33.9541,49.12,72,42,11.45
277,Srandakan,ID,2021-10-07 22:22:56,-7.9386,110.2506,73.38,85,32,3.47
278,Svarstad,NO,2021-10-07 22:22:57,59.399,9.9698,57.94,56,98,4.0
279,Orebro,SE,2021-10-07 22:22:57,59.2741,15.2066,52.59,59,98,5.75
280,Haliyal,IN,2021-10-07 22:22:57,15.3333,74.7667,69.76,98,68,2.66
281,Markala,ML,2021-10-07 22:22:58,13.7021,-6.0659,86.77,38,63,7.92
282,Bushehr,IR,2021-10-07 22:22:58,28.9684,50.8385,85.12,62,0,6.6
283,Pervomayskoye,RU,2021-10-07 22:22:58,43.919,46.7102,52.36,58,81,13.53
284,Jiazi,CN,2021-10-07 22:22:59,22.8779,116.067,77.61,92,100,24.34
285,Weligama,LK,2021-10-07 22:22:59,5.9667,80.4167,78.24,87,93,7.23
286,Mutoko,ZW,2021-10-07 22:22:59,-17.397,32.2268,59.92,78,7,9.01
287,Monrovia,LR,2021-10-07 22:23:00,6.3005,-10.7969,79.75,84,49,11.01
288,Trinidad,BO,2021-10-07 22:23:00,-14.8333,-64.9,87.78,58,57,4.61
289,Kahului,US,2021-10-07 22:23:00,20.8947,-156.47,86.02,63,40,21.85
290,East London,ZA,2021-10-07 22:20:08,-33.0153,27.9116,67.1,92,100,2.48
291,Tautira,PF,2021-10-07 22:23:01,-17.7333,-149.15,84.22,74,8,3.38
292,Guerrero Negro,MX,2021-10-07 22:21:40,27.9769,-114.0611,76.06,57,15,16.96
293,Inhambane,MZ,2021-10-07 22:23:01,-23.865,35.3833,68.31,65,91,8.88
294,Betong,TH,2021-10-07 22:23:01,5.7743,101.0723,69.53,99,100,2.01
