City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Hirara,JP,87.66,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
231,Yangjiang,CN,77.94,moderate rain,21.85,111.9667,HUALUXE Yangjiang City Center
234,Makaha,US,85.91,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
240,Guanambi,BR,77.47,scattered clouds,-14.2233,-42.7814,Leopoldo Hotel
246,Kavieng,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
248,Stabat,ID,86.2,overcast clouds,3.761,98.4513,Link VII damai
250,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
251,Biak,ID,84.49,few clouds,-0.9131,122.8766,Penginapan Kim
254,Amahai,ID,81.77,broken clouds,-3.3333,128.9167,HOTEL ISABELA
256,Faanui,PF,78.71,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
259,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
262,Broken Hill,AU,83.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
265,Sapulpa,US,84.76,clear sky,35.9987,-96.1142,Super 8 by Wyndham Sapulpa/Tulsa Area
267,Sijunjung,ID,87.17,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
268,Bubaque,GW,83.05,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
270,Mancio Lima,BR,78.55,overcast clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
276,Puri,IN,85.37,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
278,Palau,PW,83.16,heavy intensity rain,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
284,Micheweni,TZ,76.1,scattered clouds,-4.9667,39.8333,
288,Pemba,MZ,75.9,broken clouds,-12.974,40.5178,Guesthouse Samotina
289,Tumsar,IN,81.0,clear sky,21.3833,79.7333,Sai Guest House
293,Nioro,GM,79.23,overcast clouds,13.35,-15.75,
