City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
547,Yukamenskoye,RU,57.8865,52.2416,35.08,95,85,5.77,overcast clouds
548,Kimbe,PG,-5.5502,150.1429,83.32,78,100,3.29,light rain
549,Auki,SB,-8.7676,160.7034,84.94,68,61,2.57,moderate rain
550,Uvinza,TZ,-5.1036,30.3911,70.23,55,41,2.91,scattered clouds
551,Windhoek,NA,-22.5594,17.0832,59.2,20,0,4.61,clear sky
552,Kafanchan,NG,9.5833,8.3,69.03,76,100,2.86,overcast clouds
553,Athol,US,42.5959,-72.2268,58.75,85,73,8.9,broken clouds
554,Lexington,US,37.9887,-84.4777,65.14,83,1,4.61,clear sky
555,Shirokiy,RU,49.758,129.523,57.16,48,100,9.6,overcast clouds
556,Waddan,LY,29.1614,16.139,71.28,38,0,3.65,clear sky
557,Borovskoy,KZ,53.8,64.15,36.21,62,2,7.67,clear sky
558,Casper,US,42.8666,-106.3131,58.5,78,90,4.0,light rain
559,Naantali,FI,60.4674,22.0243,54.01,94,90,4.61,overcast clouds
560,Katima Mulilo,NA,-17.5,24.2667,71.73,42,5,4.47,clear sky
561,Mutis,CO,6.2262,-77.4044,77.27,90,100,1.9,moderate rain
562,Linares,CL,-35.85,-71.6,47.84,87,50,3.74,scattered clouds
563,Gwanda,ZW,-20.9333,29.0,68.63,58,0,5.53,clear sky
564,Ginir,ET,7.1333,40.7,60.15,85,84,4.05,broken clouds
565,Novyye Burasy,RU,52.1324,46.0714,44.94,77,5,6.06,clear sky
566,Kilosa,TZ,-6.8333,36.9833,67.82,90,30,4.09,scattered clouds
567,Whitehorse,CA,60.7161,-135.0538,38.17,86,90,15.99,light rain
568,Lata,PT,40.1629,-8.3327,61.81,88,85,1.97,overcast clouds
569,Raudeberg,NO,61.9875,5.1352,59.2,92,100,11.01,overcast clouds
570,Tadine,NC,-21.55,167.8833,74.23,58,42,13.85,scattered clouds
571,Bajil,YE,15.0584,43.2851,83.84,65,99,3.2,overcast clouds
572,Divnomorskoye,RU,44.5011,38.1353,47.75,80,96,9.71,overcast clouds
573,Waharoa,NZ,-37.7667,175.7667,68.32,70,74,16.4,broken clouds
574,Upata,VE,8.0086,-62.3989,75.2,95,100,2.98,overcast clouds
575,Victor Harbor,AU,-35.5667,138.6167,69.19,72,86,5.01,light rain
576,Usinsk,RU,65.9939,57.5281,32.43,79,96,21.39,overcast clouds
577,Oktyabrskiy,RU,54.4815,53.471,35.64,77,6,2.82,clear sky
